date,home_team,away_team,home_goals,away_goals,result
2025-04-24,Leganes,Girona,1,1,D
2025-04-24,Osasuna,Sevilla,1,0,H
2025-04-24,Ath Madrid,Vallecano,3,0,H
2025-04-24,Betis,Valladolid,5,1,H
2025-04-27,Villarreal,Espanol,1,0,H
2025-05-02,Vallecano,Getafe,1,0,H
2025-05-03,Alaves,Ath Madrid,0,0,D
2025-05-03,Villarreal,Osasuna,4,2,H
2025-05-03,Las Palmas,Valencia,2,3,A
2025-05-03,Valladolid,Barcelona,1,2,A
2025-05-04,Sociedad,Ath Bilbao,0,0,D
2025-05-04,Real Madrid,Celta,3,2,H
2025-05-04,Espanol,Betis,1,2,A
2025-05-04,Sevilla,Leganes,2,2,D
2025-05-05,Girona,Mallorca,1,0,H
2025-05-09,Las Palmas,Vallecano,0,1,A
2025-05-10,Valencia,Getafe,3,0,H
2025-05-10,Celta,Sevilla,3,2,H
2025-05-10,Girona,Villarreal,0,1,A
2025-05-10,Mallorca,Valladolid,2,1,H
2025-05-10,Ath Madrid,Sociedad,4,0,H
2025-05-11,Leganes,Espanol,3,2,H
2025-05-11,Barcelona,Real Madrid,4,3,H
2025-05-11,Ath Bilbao,Alaves,1,0,H
2025-05-11,Betis,Osasuna,1,1,D
2025-05-13,Sociedad,Celta,0,1,A
2025-05-13,Valladolid,Girona,0,1,A
2025-05-13,Sevilla,Las Palmas,1,0,H
2025-05-14,Alaves,Valencia,1,0,H
2025-05-14,Villarreal,Leganes,3,0,H
2025-05-14,Real Madrid,Mallorca,2,1,H
2025-05-15,Vallecano,Betis,2,2,D
2025-05-15,Osasuna,Ath Madrid,2,0,H
2025-05-15,Espanol,Barcelona,0,2,A
2025-05-15,Getafe,Ath Bilbao,0,2,A
2025-05-18,Valladolid,Alaves,0,1,A
2025-05-18,Valencia,Ath Bilbao,0,1,A
2025-05-18,Sociedad,Girona,3,2,H
2025-05-18,Sevilla,Real Madrid,0,2,A
2025-05-18,Osasuna,Espanol,2,0,H
2025-05-18,Mallorca,Getafe,1,2,A
2025-05-18,Las Palmas,Leganes,0,1,A
2025-05-18,Celta,Vallecano,1,2,A
2025-05-18,Barcelona,Villarreal,2,3,A
2025-05-18,Ath Madrid,Betis,4,1,H
2025-05-23,Betis,Valencia,1,1,D
2025-05-24,Real Madrid,Sociedad,2,0,H
2025-05-24,Espanol,Las Palmas,2,0,H
2025-05-24,Leganes,Valladolid,3,0,H
2025-05-24,Alaves,Osasuna,1,1,D
2025-05-24,Getafe,Celta,1,2,A
2025-05-24,Vallecano,Mallorca,0,0,D
2025-05-25,Girona,Ath Madrid,0,4,A
2025-05-25,Ath Bilbao,Barcelona,0,3,A
2025-05-25,Villarreal,Sevilla,4,2,H
2025-08-15,Girona,Vallecano,1,3,A
2025-08-15,Villarreal,Oviedo,2,0,H
2025-08-16,Valencia,Sociedad,1,1,D
2025-08-16,Mallorca,Barcelona,0,3,A
2025-08-16,Alaves,Levante,2,1,H
2025-08-17,Espanol,Ath Madrid,2,1,H
2025-08-17,Celta,Getafe,0,2,A
2025-08-17,Ath Bilbao,Sevilla,3,2,H
2025-08-18,Elche,Betis,1,1,D
2025-08-19,Real Madrid,Osasuna,1,0,H
2025-08-22,Betis,Alaves,1,0,H
2025-08-23,Mallorca,Celta,1,1,D
2025-08-23,Ath Madrid,Elche,1,1,D
2025-08-23,Levante,Barcelona,2,3,A
2025-08-24,Osasuna,Valencia,1,0,H
2025-08-24,Sociedad,Espanol,2,2,D
2025-08-24,Villarreal,Girona,5,0,H
2025-08-24,Oviedo,Real Madrid,0,3,A
2025-08-25,Ath Bilbao,Vallecano,1,0,H
2025-08-25,Sevilla,Getafe,1,2,A
2025-08-27,Celta,Betis,1,1,D
2025-08-29,Valencia,Getafe,3,0,H
2025-08-29,Elche,Levante,2,0,H
2025-08-30,Real Madrid,Mallorca,2,1,H
2025-08-30,Alaves,Ath Madrid,1,1,D
2025-08-30,Oviedo,Sociedad,1,0,H
2025-08-30,Girona,Sevilla,0,2,A
2025-08-31,Celta,Villarreal,1,1,D
2025-08-31,Betis,Ath Bilbao,1,2,A
2025-08-31,Espanol,Osasuna,1,0,H
2025-08-31,Vallecano,Barcelona,1,1,D
2025-09-12,Sevilla,Elche,2,2,D
2025-09-13,Getafe,Oviedo,2,0,H
2025-09-13,Sociedad,Real Madrid,1,2,A
2025-09-13,Ath Bilbao,Alaves,0,1,A
2025-09-13,Ath Madrid,Villarreal,2,0,H
2025-09-14,Barcelona,Valencia,6,0,H
2025-09-14,Celta,Girona,1,1,D
2025-09-14,Levante,Betis,2,2,D
2025-09-14,Osasuna,Vallecano,2,0,H
2025-09-15,Espanol,Mallorca,3,2,H
2025-09-19,Betis,Sociedad,3,1,H
2025-09-20,Valencia,Ath Bilbao,2,0,H
2025-09-20,Villarreal,Osasuna,2,1,H
2025-09-20,Girona,Levante,0,4,A
2025-09-20,Real Madrid,Espanol,2,0,H
2025-09-20,Alaves,Sevilla,1,2,A
2025-09-21,Mallorca,Ath Madrid,1,1,D
2025-09-21,Elche,Oviedo,1,0,H
2025-09-21,Barcelona,Getafe,3,0,H
2025-09-21,Vallecano,Celta,1,1,D
2025-09-23,Ath Bilbao,Girona,1,1,D
2025-09-23,Espanol,Valencia,2,2,D
2025-09-23,Levante,Real Madrid,1,4,A
2025-09-23,Sevilla,Villarreal,1,2,A
2025-09-24,Getafe,Alaves,1,1,D
2025-09-24,Ath Madrid,Vallecano,3,2,H
2025-09-24,Sociedad,Mallorca,1,0,H
2025-09-25,Osasuna,Elche,1,1,D
2025-09-25,Oviedo,Barcelona,1,3,A
2025-09-26,Girona,Espanol,0,0,D
2025-09-27,Villarreal,Ath Bilbao,1,0,H
2025-09-27,Mallorca,Alaves,1,0,H
2025-09-27,Getafe,Levante,1,1,D
2025-09-27,Ath Madrid,Real Madrid,5,2,H
2025-09-28,Vallecano,Sevilla,0,1,A
2025-09-28,Elche,Celta,2,1,H
2025-09-28,Barcelona,Sociedad,2,1,H
2025-09-28,Betis,Osasuna,2,0,H
2025-09-30,Valencia,Oviedo,1,2,A
2025-10-03,Osasuna,Getafe,2,1,H
2025-10-04,Real Madrid,Villarreal,3,1,H
2025-10-04,Girona,Valencia,2,1,H
2025-10-04,Oviedo,Levante,0,2,A
2025-10-04,Ath Bilbao,Mallorca,2,1,H
2025-10-05,Alaves,Elche,3,1,H
2025-10-05,Sevilla,Barcelona,4,1,H
2025-10-05,Espanol,Betis,1,2,A
2025-10-05,Sociedad,Vallecano,0,1,A
2025-10-05,Celta,Ath Madrid,1,1,D
2025-10-17,Oviedo,Espanol,0,2,A
2025-10-18,Barcelona,Girona,2,1,H
2025-10-18,Ath Madrid,Osasuna,1,0,H
2025-10-18,Sevilla,Mallorca,1,3,A
2025-10-18,Villarreal,Betis,2,2,D
