date,home_team,away_team,home_goals,away_goals,result,r_home_pre,r_away_pre,p_home,p_away,p_draw,r_home_post,r_away_post
2024-10-06,Alaves,Barcelona,0,3,A,1492.6,1556.8,0.3566730639374343,0.365434870894435,0.2778920651681307,1482.7,1566.7
2024-10-06,Sevilla,Betis,1,0,H,1491.8,1504.9,0.4216366935635879,0.3218265990676875,0.25653670736872464,1500.5,1496.3
2024-10-06,Sociedad,Ath Madrid,1,1,D,1481.6,1536.4,0.366746206909496,0.3558689097043315,0.27738488338617256,1481.4,1536.5
2024-10-18,Alaves,Valladolid,2,3,A,1482.7,1451.3,0.48136436804215904,0.2843574864939636,0.23427814546387732,1470.2,1463.9
2024-10-19,Ath Bilbao,Espanol,4,1,H,1506.7,1483.4,0.4704777886266725,0.29119365489716337,0.23832855647616408,1514.4,1475.8
2024-10-19,Osasuna,Betis,1,2,A,1516.9,1496.3,0.46689778302671014,0.2934420960859573,0.23966012088733263,1504.7,1508.5
2024-10-19,Girona,Sociedad,0,1,A,1502.2,1481.4,0.46695281550733186,0.29340753238179634,0.23963965211087182,1489.9,1493.7
2024-10-19,Celta,Real Madrid,1,2,A,1497.2,1554.7,0.36321290999318445,0.35803439532206727,0.2787526946847483,1487.1,1564.7
2024-10-20,Barcelona,Sevilla,5,1,H,1566.7,1500.5,0.5278661796887238,0.25524659604027067,0.2168872242710055,1573.2,1494.0
2024-10-20,Mallorca,Vallecano,1,0,H,1510.5,1510.3,0.43942970969325157,0.31068430942074843,0.249885980886,1518.8,1502.0
2024-10-20,Villarreal,Getafe,1,1,D,1528.4,1481.8,0.5016313718661508,0.27164516886876827,0.22672345926508095,1525.4,1484.8
2024-10-20,Ath Madrid,Leganes,3,1,H,1536.5,1480.9,0.51377374533935,0.2640450350091087,0.22218121965154128,1543.3,1474.1
2024-10-21,Valencia,Las Palmas,2,3,A,1467.5,1444.0,0.4707775995374979,0.2910053606405148,0.23821703982198725,1455.2,1456.3
2024-10-25,Espanol,Sevilla,0,2,A,1475.8,1494.0,0.41478217092039915,0.3261092275875781,0.2591086014920228,1464.6,1505.2
2024-10-26,Valladolid,Villarreal,1,2,A,1463.9,1525.4,0.3587799656719087,0.3619948841164621,0.2792251502116292,1453.9,1535.4
2024-10-26,Vallecano,Alaves,1,0,H,1502.0,1470.2,0.48188425635597165,0.28403110921537544,0.2340846344286529,1509.4,1462.8
2024-10-26,Las Palmas,Girona,1,0,H,1456.3,1489.9,0.39445194189411703,0.33876672791772955,0.26678133018815336,1465.6,1480.6
2024-10-26,Real Madrid,Barcelona,0,4,A,1564.7,1573.2,0.42774319809465206,0.31800628395543645,0.2542505179499115,1553.3,1584.7
2024-10-27,Leganes,Celta,3,0,H,1474.1,1487.1,0.421736133541285,0.3217644239886908,0.2564994424700242,1482.7,1478.4
2024-10-27,Getafe,Valencia,1,1,D,1484.8,1455.2,0.4789587665478273,0.2858678083694053,0.2351734250827674,1482.3,1457.7
2024-10-27,Betis,Ath Madrid,1,0,H,1508.5,1543.3,0.392858635686733,0.33975536139443235,0.26738600291883463,1517.8,1534.0
2024-10-27,Sociedad,Osasuna,0,2,A,1493.7,1504.7,0.42450721852206114,0.32003130492528803,0.2554614765526508,1482.3,1516.1
2024-10-28,Mallorca,Ath Bilbao,0,0,D,1518.8,1514.4,0.4450341257792028,0.3071690470470047,0.24779682717379253,1517.0,1516.2
2024-11-01,Alaves,Mallorca,1,0,H,1462.8,1517.0,0.36747040015939264,0.35542458041812713,0.2771050194224803,1472.6,1507.1
2024-11-02,Osasuna,Valladolid,1,0,H,1516.1,1453.9,0.5224290769693164,0.258637943471239,0.21893297955944468,1522.7,1447.3
2024-11-02,Girona,Leganes,4,3,H,1480.6,1482.7,0.43630768839709366,0.3126415466851086,0.2510507649177978,1489.0,1474.4
2024-11-03,Ath Madrid,Las Palmas,2,0,H,1534.0,1465.6,0.5308422200062375,0.2533922170618636,0.2157655629318988,1540.5,1459.1
2024-11-03,Barcelona,Espanol,3,1,H,1584.7,1464.6,0.5980571227112655,0.21201719415745127,0.18992568313128325,1589.9,1459.3
2024-11-03,Sevilla,Sociedad,0,2,A,1505.2,1482.3,0.4698116853966546,0.2916119994002639,0.2385763152030816,1492.8,1494.7
2024-11-03,Ath Bilbao,Betis,1,1,D,1516.2,1517.8,0.43700271755905207,0.3122058912210627,0.25079139121988525,1514.6,1519.5
2024-11-04,Celta,Getafe,1,0,H,1478.4,1482.3,0.43394858715622225,0.314119961484924,0.2519314513588538,1486.8,1473.9
2024-11-08,Vallecano,Las Palmas,1,3,A,1509.4,1459.1,0.5066731900682965,0.2684875609641696,0.2248392489675339,1496.3,1472.2
2024-11-09,Real Madrid,Osasuna,4,0,H,1553.3,1522.7,0.48021612433672417,0.28507836996034347,0.23470550570293236,1560.7,1515.2
2024-11-09,Villarreal,Alaves,3,0,H,1535.4,1472.6,0.5233021286038189,0.25809309464897473,0.21860477674720633,1542.0,1466.0
2024-11-09,Leganes,Sevilla,1,0,H,1474.4,1492.8,0.41449136324442076,0.3262907748294421,0.2592178619261372,1483.2,1484.0
2024-11-10,Sociedad,Barcelona,1,0,H,1494.7,1589.9,0.33149732884792216,0.4061423118033576,0.2623603593487202,1505.7,1578.9
2024-11-10,Valladolid,Ath Bilbao,1,1,D,1447.3,1514.6,0.3542532613747639,0.3693782252472543,0.27636851337798185,1447.5,1514.4
2024-11-10,Betis,Celta,2,2,D,1519.5,1486.8,0.4829759781312757,0.28334577864800203,0.23367824322072228,1516.9,1489.4
2024-11-10,Mallorca,Ath Madrid,0,1,A,1507.1,1540.5,0.3947200197079832,0.3386003344970061,0.26667964579501074,1496.4,1551.3
2024-11-10,Getafe,Girona,0,1,A,1473.9,1489.0,0.4189414896880234,0.32351129517145166,0.25754721514052487,1462.6,1500.3
2024-11-22,Getafe,Valladolid,2,0,H,1462.6,1447.5,0.45940536373933244,0.29814758838376215,0.24244704787690538,1470.5,1439.6
2024-11-23,Valencia,Betis,4,2,H,1457.7,1516.9,0.3610582230962665,0.35935297586688447,0.2795888010368491,1467.7,1506.9
2024-11-23,Ath Madrid,Alaves,2,1,H,1551.3,1466.0,0.5530050724900026,0.23963184440483787,0.2073630831051595,1557.3,1459.9
2024-11-23,Girona,Espanol,4,1,H,1500.3,1459.3,0.49412503233105237,0.27635033861093655,0.22952462905801102,1507.5,1452.2
2024-11-23,Las Palmas,Mallorca,2,3,A,1472.2,1496.4,0.4068383411021146,0.3310637166070939,0.26209794229079153,1461.1,1507.4
2024-11-23,Celta,Barcelona,2,2,D,1489.4,1578.9,0.33625978768602266,0.398488351598771,0.2652518607152063,1490.3,1578.1
2024-11-24,Ath Bilbao,Sociedad,1,0,H,1514.4,1505.7,0.4507640274356566,0.3035731509753402,0.24566282158900324,1522.4,1497.6
2024-11-24,Leganes,Real Madrid,0,3,A,1483.2,1560.7,0.34602871852068817,0.3827265767966355,0.27124470468267625,1473.7,1570.2
2024-11-24,Sevilla,Vallecano,1,0,H,1484.0,1496.3,0.4226341399003388,0.3212028872108793,0.25616297288878187,1492.7,1487.7
2024-11-24,Osasuna,Villarreal,2,2,D,1515.2,1542.0,0.4034401385223604,0.3331799187432404,0.2633799427343992,1514.3,1542.9
2024-11-29,Mallorca,Valencia,2,1,H,1507.4,1467.7,0.4924835891474342,0.27737979799235823,0.23013661286020753,1514.6,1460.5
2024-11-30,Barcelona,Las Palmas,1,2,A,1578.1,1461.1,0.5939747469089158,0.21449529518929508,0.19152995790178912,1563.4,1475.8
2024-11-30,Alaves,Leganes,1,1,D,1459.9,1473.7,0.42070583933822703,0.3224085567604902,0.25688560390128273,1458.6,1475.0
2024-11-30,Espanol,Celta,3,1,H,1452.2,1490.3,0.38844238088156435,0.3424926814518273,0.26906493766660833,1461.5,1480.9
2024-11-30,Valladolid,Ath Madrid,0,5,A,1439.6,1557.3,0.31283391390515963,0.4360007721248174,0.25116531397002295,1431.3,1565.7
